client_slot,variant,user_id,email
001,NONE,6a259a4b-f5da-4035-812b-1b28dad2599a,bench-none-001@mg.amokrzycki.ovh
001,EMAIL_OTP,a20e550d-6b41-4704-b3f1-5c809f8f172c,bench-mail-001@mg.amokrzycki.ovh
001,TOTP,d785c9b4-8a97-430c-8159-5846b63a9662,bench-totp-001@mg.amokrzycki.ovh
001,WEBAUTHN,e5ce3135-7c49-4594-9769-28555060d491,bench-waut-001@mg.amokrzycki.ovh
002,NONE,2389d20a-1299-4bcf-86e2-a25f64832a5e,bench-none-002@mg.amokrzycki.ovh
002,EMAIL_OTP,d301c043-7ae9-4a61-96fe-b83daa137113,bench-mail-002@mg.amokrzycki.ovh
002,TOTP,eb9b82bc-953a-4b3f-b129-c6bf495b3795,bench-totp-002@mg.amokrzycki.ovh
002,WEBAUTHN,18ac4f04-6e55-466b-b2da-21802b47dc6a,bench-waut-002@mg.amokrzycki.ovh
003,NONE,a4df5091-d1ab-4971-a05e-62f32035e3b4,bench-none-003@mg.amokrzycki.ovh
003,EMAIL_OTP,a2f5adde-8da7-40af-97e3-6d160f5fef4d,bench-mail-003@mg.amokrzycki.ovh
003,TOTP,45cda17e-62e7-411b-bb5b-755cd985c453,bench-totp-003@mg.amokrzycki.ovh
003,WEBAUTHN,f99da1ed-904d-4e36-9678-d5c18d6da43b,bench-waut-003@mg.amokrzycki.ovh
004,NONE,911dca53-ef93-441c-9c56-7efe229c4d8e,bench-none-004@mg.amokrzycki.ovh
004,EMAIL_OTP,38b42d5e-e163-4e65-80d8-15281afac128,bench-mail-004@mg.amokrzycki.ovh
004,TOTP,ba300792-d03f-4cbd-a051-c2aaf4e10501,bench-totp-004@mg.amokrzycki.ovh
004,WEBAUTHN,d7ecac9c-8d1f-43dc-bff3-cb787ca15e70,bench-waut-004@mg.amokrzycki.ovh
005,NONE,c4873f1d-d5c2-4e4b-bee7-80b7c2e014d4,bench-none-005@mg.amokrzycki.ovh
005,EMAIL_OTP,6197d0c4-ed0c-417d-b417-092fecc9b04b,bench-mail-005@mg.amokrzycki.ovh
005,TOTP,b896e7e0-3801-45d5-b005-d02d6c4984a9,bench-totp-005@mg.amokrzycki.ovh
005,WEBAUTHN,d537e0b7-6a00-4dd3-b9af-e4fe2949c0f0,bench-waut-005@mg.amokrzycki.ovh
006,NONE,043d98f9-7764-4c69-9f0d-6732ca5880c0,bench-none-006@mg.amokrzycki.ovh
006,EMAIL_OTP,9cd7d789-5144-4e17-96a3-ae6baf1a677a,bench-mail-006@mg.amokrzycki.ovh
006,TOTP,d2ff4cfe-9506-4031-9d2a-ecf76ea0bbe7,bench-totp-006@mg.amokrzycki.ovh
006,WEBAUTHN,957b1f8f-e818-46b3-a5ed-f9943825d31c,bench-waut-006@mg.amokrzycki.ovh
007,NONE,ee855d8b-bad5-4c2c-ba6e-8089a82b65c5,bench-none-007@mg.amokrzycki.ovh
007,EMAIL_OTP,219dfc29-f586-4a6c-af96-4fbd5101b5ba,bench-mail-007@mg.amokrzycki.ovh
007,TOTP,cf0e1960-dd3c-4305-a41c-3ad8a3e8d47e,bench-totp-007@mg.amokrzycki.ovh
007,WEBAUTHN,537e5475-61ef-409e-81b9-316617aba0cc,bench-waut-007@mg.amokrzycki.ovh
008,NONE,61dfd1ba-6e4c-4a98-9400-21e1d6aa93a1,bench-none-008@mg.amokrzycki.ovh
008,EMAIL_OTP,9cf6c926-3824-400d-b79b-f6ab753de580,bench-mail-008@mg.amokrzycki.ovh
008,TOTP,c51b41b0-027b-4176-ab72-940d2c97ff66,bench-totp-008@mg.amokrzycki.ovh
008,WEBAUTHN,077662f9-7776-4b9c-a07b-a67609661030,bench-waut-008@mg.amokrzycki.ovh
